ID,Date/Time,Categoria,Publicacion,Hora,Lat,Lon
160.0,2/6/2017,Toma clandestina,Martes,17:00,18.82591902877696,-97.24327474820146
161.0,2/8/2017,Robo,Jueves,3:00,18.82591902877696,-97.24327474820146
162.0,2/3/2017,Robo,Sábado,16:00,18.82591902877696,-97.24327474820146
163.0,2/13/2017,Robo,Miércoles,13:30,18.82591902877696,-97.24327474820146
164.0,2/14/2017,Robo,Jueves,1:45,18.82591902877696,-97.24327474820146
165.0,2/11/2017,Robo,Viernes,3:00,18.82591902877696,-97.24327474820146
166.0,2/10/2017,Robo,Viernes,3:00,18.82854,-97.304777
167.0,2/17/2017,Robo,Domingo,3:00,18.82591902877696,-97.24327474820146
168.0,2/21/2017,Robo,Miércoles,7:30,18.829573,-97.2559
169.0,2/17/2017,Robo,Miércoles,0:40,18.829573,-97.2559
170.0,2/21/2017,Robo,Jueves,2:20,18.82591902877696,-97.24327474820146
171.0,2/19/2017,Robo,Martes,9:00,18.82591902877696,-97.24327474820146
172.0,3/4/2017,Robo,Domingo,12:00,18.82591902877696,-97.24327474820146
173.0,3/3/2017,Robo,Domingo,6:50,18.82591902877696,-97.24327474820146
174.0,3/5/2017,Robo,Lunes,15:30,18.82591902877696,-97.24327474820146
175.0,3/5/2017,Enfrentamiento,Lunes,16:45,18.82591902877696,-97.24327474820146
176.0,3/3/2017,Robo,Lunes,3:00,18.816412,-97.234309
177.0,3/7/2017,Robo,Jueves,11:00,18.816412,-97.234309
178.0,3/9/2017,Robo,Martes,20:45,18.821043,-97.231158
179.0,3/11/2017,Robo,Miércoles,3:00,18.82591902877696,-97.24327474820146
180.0,3/15/2017,Robo,Viernes,23:00,18.816412,-97.234309
181.0,3/13/2017,Robo,Sábado,3:00,18.816412,-97.234309
182.0,,Robo,Sábado,3:00,18.82591902877696,-97.24327474820146
183.0,3/17/2017,Robo,Domingo,17:00,18.82591902877696,-97.24327474820146
184.0,3/24/2017,Robo,Sábado,2:20,18.82591902877696,-97.24327474820146
185.0,3/24/2017,Robo,Domingo,21:00,18.829573,-97.2559
186.0,3/25/2017,Robo,Domingo,8:15,18.82591902877696,-97.24327474820146
187.0,3/25/2017,Robo,Domingo,2:00,18.823210999999997,-97.247864
188.0,3/27/2017,Toma clandestina,Martes,10:10,18.816412,-97.234309
189.0,4/2/2017,Toma clandestina,Martes,3:00,18.82591902877696,-97.24327474820146
190.0,4/3/2017,Toma clandestina,Martes,15:20,18.82591902877696,-97.24327474820146
191.0,4/7/2017,Robo,Sábado,21:00,18.82591902877696,-97.24327474820146
192.0,3/29/2017,Robo,Domingo,3:00,18.82591902877696,-97.24327474820146
193.0,4/10/2017,Toma clandestina,Martes,9:00,18.82591902877696,-97.24327474820146
194.0,4/11/2017,Asalto,Jueves,20:00,18.82591902877696,-97.24327474820146
195.0,,Robo,Sábado,3:00,18.82591902877696,-97.24327474820146
196.0,4/21/2017,Combustible,Sábado,11:00,18.82591902877696,-97.24327474820146
197.0,4/21/2017,Robo,Domingo,3:00,18.82591902877696,-97.24327474820146
198.0,4/25/2017,Enfrentamiento,Miércoles,12:30,18.821043,-97.231158
199.0,5/1/2017,Combustible,Martes,17:00,18.82591902877696,-97.24327474820146
200.0,4/30/2017,Robo,Jueves,3:00,18.82591902877696,-97.24327474820146
201.0,5/3/2017,Enfrentamiento,Jueves,0:00,18.82591902877696,-97.24327474820146
202.0,5/3/2017,Enfrentamiento,Viernes,21:00,18.82591902877696,-97.24327474820146
203.0,5/4/2017,Enfrentamiento,Viernes,3:00,18.82591902877696,-97.24327474820146
204.0,5/4/2017,Toma clandestina,Viernes,3:00,18.82591902877696,-97.24327474820146
205.0,5/4/2017,Toma clandestina,Viernes,3:00,18.82591902877696,-97.24327474820146
206.0,5/7/2017,Toma clandestina,Lunes,15:15,18.82591902877696,-97.24327474820146
207.0,5/8/2017,Robo,Viernes,3:00,18.816412,-97.234309
208.0,,Robo,Viernes,3:00,18.82591902877696,-97.24327474820146
209.0,5/11/2017,Asalto,Sábado,23:00,18.82591902877696,-97.24327474820146
210.0,5/14/2017,Robo,Martes,23:00,18.82591902877696,-97.24327474820146
211.0,5/14/2017,Robo,Miércoles,17:00,18.816412,-97.234309
212.0,,Robo,Jueves,3:00,18.821043,-97.231158
213.0,5/24/2017,Combustible,Jueves,3:00,18.82591902877696,-97.24327474820146
214.0,5/24/2017,Combustible,Jueves,3:00,18.82591902877696,-97.24327474820146
215.0,,Robo,Lunes,3:00,18.82591902877696,-97.24327474820146
216.0,5/30/2017,Robo,Miércoles,3:00,18.816412,-97.234309
217.0,,Robo,Jueves,3:00,18.82591902877696,-97.24327474820146
218.0,6/1/2017,Robo,Viernes,18:00,18.82591902877696,-97.24327474820146
219.0,6/1/2017,Robo,Viernes,8:30,18.816412,-97.234309
220.0,6/2/2017,Robo,Domingo,21:00,18.82591902877696,-97.24327474820146
221.0,6/1/2017,Robo,Lunes,3:00,18.82591902877696,-97.24327474820146
222.0,6/5/2017,Robo,Jueves,16:00,18.82591902877696,-97.24327474820146
223.0,6/7/2017,Robo,Jueves,16:00,18.82591902877696,-97.24327474820146
224.0,,Robo,Sábado,3:00,18.82591902877696,-97.24327474820146
225.0,,Robo,Sábado,3:00,18.816412,-97.234309
226.0,6/10/2017,Robo,Domingo,5:00,18.82591902877696,-97.24327474820146
227.0,6/13/2017,Robo,Miércoles,7:00,18.82591902877696,-97.24327474820146
228.0,6/10/2017,Robo,Jueves,21:00,18.82591902877696,-97.24327474820146
229.0,6/15/2017,Asalto,Viernes,15:00,18.816412,-97.234309
230.0,6/19/2017,Ejecución,Martes,17:00,18.82591902877696,-97.24327474820146
231.0,6/22/2017,Robo,Sábado,21:00,18.82591902877696,-97.24327474820146
232.0,6/24/2017,Robo,Domingo,10:00,18.82591902877696,-97.24327474820146
233.0,6/23/2017,Robo,Domingo,3:00,18.82591902877696,-97.24327474820146
234.0,6/25/2017,Robo,Martes,21:00,18.82591902877696,-97.24327474820146
235.0,6/25/2017,Robo,Miércoles,21:30,18.816412,-97.234309
236.0,,Robo,Jueves,3:00,18.82591902877696,-97.24327474820146
237.0,6/29/2017,Robo,Domingo,3:00,18.847148999999998,-97.073018
238.0,7/6/2017,Robo,Sábado,20:30,18.829573,-97.2559
239.0,,Robo,Domingo,3:00,18.816412,-97.234309
240.0,7/4/2017,Robo,Domingo,21:00,18.816412,-97.234309
241.0,7/13/2017,Robo,Viernes,10:00,18.829573,-97.2559
