ID,Fecha_Publicacion,Fecha_Incidente,Categoria,Publicacion,Distrito_Policiaco,Direccion,Hora,Latitud,Longitud,Coordenadas,Arrestos,Descripcion,Motivo,,,,,,,,,,,,,
113,23/10/16,10/19/2016,Robo,Domingo,Puebla,Amozoc,21:00,,,,0,Roban tráiler con varilla,,,,,,,,,,,,,,
114,26/10/16,10/25/2016,Robo,Miércoles,Veracruz,Cumbres de maltrata,14:20,,,,0,Aseguran tráiler robado horas antes con productos llantas,,,,,,,,,,,,,,
115,27/10/16,10/26/2016,Ejecución,Jueves,Veracruz,km 248,20:00,,,,0,Persona ejecutada,,,,,,,,,,,,,,
116,30/10/16,10/29/2016,Robo,Domingo,Veracruz,km 268,13:30,,,,0,Aseguran 7 vehiculos con combustible robado,,,,,,,,,,,,,,
117,03/11/16,,Robo,Jueves,Veracruz,,3:00,,,,0,Roban tráiler con linea blanca,,,,,,,,,,,,,,
118,06/11/16,11/5/2016,Enfrentamiento,Domingo,Puebla,km 194,8:30,,,,0,Enfrentamiento entre robaductos y soldados,,,,,,,,,,,,,,
119,07/11/16,11/3/2016,Robo,Lunes,Veracruz,Cumbres de maltrata,21:00,,,,0,Roban dulces de tráiler en movimiento,,,,,,,,,,,,,,
120,10/11/16,,Robo,Jueves,Veracruz,,3:00,,,,0,Aseguran tráiler robado,,,,,,,,,,,,,,
121,13/11/16,11/12/2016,Enfrentamiento,Domingo,Puebla,km 159,10:30,,,,0,Enfrentamiento entre robaductos y seguridad física de Pemex,,,,,,,,,,,,,,
122,17/11/16,11/16/2016,Robo,Jueves,Veracruz,"La Estancia, km 239",21:00,18.829573,-97.255900,,0,"Intentan robar trailer, pero escapa tras ser baleado",,,,,,,,,,,,,,
123,18/11/16,11/12/2016,Robo,Viernes,Veracruz,Cumbres de maltrata,17:00,,,,0,Roban tráiler con abarrotes y cerveza,,,,,,,,,,,,,,
124,24/11/16,11/23/2016,Robo,Jueves,Puebla,Acatzingo,5:00,,,,0,Aseguran Tráiler robado,,,,,,,,,,,,,,
125,26/11/16,11/23/2016,Robo,Sábado,Puebla,"San Sebastián Villanueva, Acatzingo",7:00,,,,0,3 sujetos roban tráiler con fertilizante,,,,,,,,,,,,,,
126,01/12/16,11/28/2016,Robo,Jueves,Veracruz,"Balastrera, km 248",21:00,18.816412,-97.234309,,0,Aseguran tráiler robado,,,,,,,,,,,,,,
127,02/12/16,11/28/2016,Robo,Viernes,Veracruz,Nogales,18:00,,,,0,Roban tráiler con chocolates,,,,,,,,,,,,,,
128,03/12/16,12/1/2016,Robo,Sábado,Veracruz,Maltrata,17:00,18.823211,-97.247864,,0,Roban tráiler con perfumes,,,,,,,,,,,,,,
129,03/12/16,11/29/2016,Robo,Sábado,Veracruz,"La Estancia, km 239",20:20,18.829573,-97.255900,,0,Roban tráiler con papas fritas,,,,,,,,,,,,,,
130,08/12/16,12/4/2016,Robo,Jueves,Veracruz,"Balastrera, km 248",21:00,18.816412,-97.234309,,0,Roban tráiler,,,,,,,,,,,,,,
131,13/12/16,12/4/2016,Robo,Martes,Veracruz,"La Estancia, km 239",3:00,18.829573,-97.255900,,0,Roban tráiler con azúcar,,,,,,,,,,,,,,
132,17/12/16,12/14/2016,Robo,Sábado,Veracruz,"Balastrera, km 248",21:00,18.816412,-97.234309,,0,Roban 2 tráilers con enlatados,,,,,,,,,,,,,,
133,19/12/16,12/18/2016,Robo,Lunes,Veracruz,km 150,13:00,,,,0,Roban tráiler de transportista,,,,,,,,,,,,,,
134,22/12/16,12/21/2016,Robo,Jueves,Veracruz,"Balastrera, km 248",0:00,18.816412,-97.234309,,0,Roban tráiler con azúcar,,,,,,,,,,,,,,
135,22/12/16,12/20/2016,Robo,Jueves,Veracruz,km 260,3:00,,,,0,Roban tráiler de transportista,,,,,,,,,,,,,,
136,24/12/16,12/21/2016,Robo,Sábado,Veracruz,km 235,0:20,18.855848,-97.277511,,0,Robo tráiler de TV Azteca,,,,,,,,,,,,,,
137,04/01/17,12/27/2016,Robo,Miércoles,Veracruz,km 237,3:00,,,,0,Roban tráiler con alimentos,,,,,,,,,,,,,,
138,04/01/17,,Robo,Miércoles,Veracruz,Esperanza,3:00,,,,0,Roban tráiler con huevo,,,,,,,,,,,,,,
139,05/01/17,1/4/2017,Robo,Jueves,Veracruz,km 242,3:00,,,,0,Roban tráiler con velas,,,,,,,,,,,,,,
140,07/01/17,1/2/2017,Robo,Sábado,Veracruz,"Balastrera, km 248",20:00,18.816412,-97.234309,,0,Roban 3 tráilers con papel,,,,,,,,,,,,,,
141,07/01/17,,Robo,Sábado,Veracruz,km 245,3:00,,,,0,Roban tráiler,,,,,,,,,,,,,,
142,08/01/17,1/6/2017,Robo,Domingo,Veracruz,"Balastrera, km 248",2:00,18.816412,-97.234309,,0,"Intentan robar tráiler, le disparan al chofer",,,,,,,,,,,,,,
